date,"Soybean oil, Brazil, fob","Soybean oil, Argentina, fob","Sunoil, EU, fob N.W.Eur. ports","Sunoil, Arg., fob","Sunoil, Ukraine, fob","Rape oil, Dutch, fob ex-mill","Palm olein RBD, Mal., fob","Palmkernel oil, Mal., cif Rot.","Coconut oil, Phil., cif Rot.","Пальмовое масло   RBD, FOB Малайзия , usd/тн "
2010-01-04,896,891,990,899.5,893.9,942,822,900,835,775.0
2010-01-05,895,890,1000,910.0,893.9,945,830,900,830,775.0
2010-01-06,891,887,1005,915.0,893.9,943,830,900,825,797.5
2010-01-07,878,873,995,905.0,893.9,940,820,895,810,787.5
2010-01-08,870,865,985,900.0,905.0,928,818,890,805,785.0
2010-01-11,866,861,985,900.0,905.0,944,810,890,795,795.0
2010-01-12,852,847,985,900.0,905.0,922,800,880,785,797.5
2010-01-13,865,860,975,900.0,905.0,917,780,870,765,790.0
2010-01-14,855,850,975,890.0,890.0,923,790,880,765,785.0
2010-01-15,835,830,970,890.0,890.0,913,783,870,750,785.0
2010-01-18,835,830,955,885.0,890.0,912,778,870,745,797.5
2010-01-19,830,825,955,880.0,875.0,895,783,870,770,790.0
2010-01-20,817,815,955,880.0,875.0,897,768,865,765,800.0
2010-01-21,829,826,950,880.0,875.0,900,775,875,775,810.0
2010-01-22,826,823,950,880.0,875.0,905,773,870,780,810.0
2010-01-25,820,817,950,880.0,875.0,913,770,875,785,825.0
2010-01-26,828,824,945,875.0,875.0,892,750,860,770,815.0
2010-01-27,820,817,945,870.0,875.0,894,750,865,775,830.0
2010-01-28,814,811,945,870.0,890.0,896,755,865,780,825.0
2010-01-29,811,808,940,865.0,885.0,894,755,860,770,817.5
2010-02-01,813,810,940,865.0,885.0,890,755,860,770,807.5
2010-02-02,840,837,940,865.0,885.0,892,753,855,765,800.0
2010-02-03,826,823,940,855.0,875.0,916,773,860,775,802.5
2010-02-04,830,827,945,840.0,875.0,893,770,860,775,790.0
2010-02-05,824,822,940,840.0,875.0,876,767,875,780,805.0
2010-02-08,842,840,940,850.0,875.0,892,776,900,790,802.5
2010-02-09,848,847,945,855.0,875.0,895,783,885,765,805.0
2010-02-10,843,842,945,855.0,875.0,890,785,880,765,800.0
2010-02-11,839,838,950,860.0,885.0,898,790,885,780,805.0
2010-02-12,832,831,950,860.0,885.0,889,793,890,785,797.5
2010-02-15,832,831,950,850.0,885.0,885,793,890,785,805.0
2010-02-16,853,852,955,850.0,880.0,894,793,895,790,810.0
2010-02-17,844,843,960,850.0,880.0,906,815,905,805,812.5
2010-02-18,841,840,955,845.0,875.0,902,800,900,805,805.0
2010-02-19,840,837,950,845.0,875.0,892,805,905,805,812.5
2010-02-22,846,842,955,850.0,885.0,915,808,920,820,812.5
2010-02-23,838,832,955,850.0,875.0,898,813,930,835,822.5
2010-02-24,850,845,950,845.0,870.0,887,803,925,845,820.0
2010-02-25,839,835,950,845.0,870.0,880,798,935,850,825.0
2010-02-26,850,845,945,850.0,865.0,875,798,930,860,827.5
2010-03-01,845,840,955,855.0,870.0,883,810,945,880,815.0
2010-03-02,846,841,930,850.0,865.0,894,808,945,880,820.0
2010-03-03,847,844,930,855.0,865.0,890,810,970,900,822.5
2010-03-04,840,837,953,855.0,865.0,893,815,990,930,820.0
2010-03-05,843,840,955,860.0,870.0,917,830,1000,940,805.0
2010-03-08,848,845,960,865.0,875.0,926,845,1020,960,805.0
2010-03-09,848,845,960,865.0,875.0,902,840,1000,950,802.5
2010-03-10,860,856,963,850.0,875.0,912,845,1015,960,805.0
2010-03-11,838,834,965,855.0,875.0,908,833,1010,960,815.0
2010-03-12,820,818,960,855.0,885.0,908,830,995,950,825.0
2010-03-15,802,800,960,855.0,880.0,902,813,985,940,825.0
2010-03-16,815,813,960,850.0,875.0,905,813,1000,945,822.5
2010-03-17,825,824,960,860.0,870.0,915,818,1015,955,817.5
2010-03-18,816,814,955,860.0,870.0,888,805,990,925,820.0
2010-03-19,819,817,950,855.0,865.0,894,812,1010,925,820.0
2010-03-22,827,825,950,860.0,870.0,889,812,1010,925,812.5
2010-03-23,825,823,950,855.0,860.0,892,818,1015,910,815.0
2010-03-24,815,813,950,855.0,860.0,883,810,985,885,807.5
2010-03-25,807,805,950,855.0,865.0,894,813,995,895,802.5
2010-03-26,813,811,930,850.0,860.0,905,810,990,885,820.0
2010-03-29,819,817,925,850.0,855.0,909,815,990,880,812.5
2010-03-30,807,805,930,850.0,855.0,910,815,1000,890,812.5
2010-03-31,798,796,930,850.0,855.0,898,813,1005,900,805.0
2010-04-01,813,811,940,850.0,850.0,902,805,1000,905,785.0
2010-04-05,822,820,940,850.0,850.0,902,805,1000,905,800.0
2010-04-06,825,823,940,860.0,855.0,915,808,1010,910,790.0
2010-04-07,829,827,945,865.0,860.0,916,820,1010,910,800.0
2010-04-08,827,825,940,865.0,867.0,917,815,1010,905,792.5
2010-04-09,830,828,945,865.0,865.0,923,820,1010,910,792.5
2010-04-12,822,818,945,860.0,860.0,937,825,1015,915,782.5
2010-04-13,825,821,935,855.0,855.0,917,815,1025,925,790.0
2010-04-14,823,819,920,855.0,845.0,919,815,1025,935,795.0
2010-04-15,825,821,925,855.0,840.0,914,818,1020,940,792.5
2010-04-16,821,814,920,850.0,840.0,914,818,1025,960,792.5
2010-04-19,802,795,920,850.0,840.0,907,810,1015,950,795.0
2010-04-20,805,797,918,850.0,840.0,906,810,1025,960,800.0
2010-04-21,803,794,905,845.0,835.0,889,808,1025,955,787.5
2010-04-22,810,800,910,850.0,830.0,895,810,1020,950,787.5
2010-04-23,820,810,910,850.0,830.0,898,815,1030,970,785.0
2010-04-26,819,809,915,855.0,835.0,899,830,1030,970,780.0
2010-04-27,823,814,920,860.0,840.0,906,830,1030,970,782.5
2010-04-28,814,806,920,860.0,840.0,894,833,1025,960,792.5
2010-04-29,821,813,920,860.0,840.0,902,822,1030,950,790.0
2010-04-30,815,803,920,860.0,840.0,909,822,1020,950,785.0
2010-05-03,821,800,920,860.0,840.0,904,822,1020,950,790.0
2010-05-04,824,801,920,870.0,840.0,893,823,1015,945,792.5
2010-05-05,832,810,930,870.0,855.0,885,815,1015,945,800.0
2010-05-06,816,794,930,870.0,855.0,869,810,1020,940,795.0
2010-05-07,822,800,915,870.0,855.0,867,800,1010,935,792.5
2010-05-10,824,802,915,870.0,850.0,879,815,1010,940,792.5
2010-05-11,823,801,915,870.0,850.0,851,815,1015,940,787.5
2010-05-12,824,802,920,870.0,840.0,845,815,1025,940,797.5
2010-05-14,816,784,920,868.0,840.0,840,808,1035,940,787.5
2010-05-17,831,781,910,868.0,840.0,845,793,1025,930,787.5
2010-05-18,837,791,905,868.0,840.0,855,805,1040,925,780.0
2010-05-19,842,796,905,870.0,840.0,860,798,1035,925,782.5
2010-05-20,837,793,905,865.0,820.0,875,795,1045,930,772.5
2010-05-21,833,783,905,865.0,820.0,870,800,1040,925,770.0
2010-05-24,845,783,905,865.0,820.0,870,800,1040,925,767.5
2010-05-26,852,801,895,860.0,820.0,845,793,1040,920,775.0
2010-05-27,855,804,895,860.0,820.0,855,793,1045,915,780.0
2010-05-28,841,790,890,860.0,820.0,870,793,1045,915,790.0
2010-06-01,836,788,885,860.0,820.0,854,785,1045,920,790.0
2010-06-02,834,786,885,860.0,820.0,855,785,1045,925,792.5
2010-06-03,824,787,885,860.0,815.0,871,803,1045,935,802.5
2010-06-04,807,770,910,865.0,815.0,856,790,1050,955,815.0
2010-06-07,797,764,900,875.0,815.0,849,778,1040,950,812.5
2010-06-08,802,765,890,865.0,810.0,846,790,1040,950,810.0
2010-06-09,804,766,890,865.0,805.0,855,775,1040,955,817.5
2010-06-10,801,764,890,860.0,800.0,866,770,1035,945,830.0
2010-06-11,804,765,890,860.0,800.0,864,782,1040,970,827.5
2010-06-14,811,766,890,860.0,800.0,880,785,1045,975,827.5
2010-06-15,820,774,885,855.0,800.0,883,788,1040,970,832.5
2010-06-16,825,781,885,855.0,795.0,896,790,1040,975,842.5
2010-06-17,825,784,885,855.0,795.0,906,790,1045,1005,845.0
2010-06-18,821,780,885,855.0,795.0,900,800,1050,1040,850.0
2010-06-21,826,780,885,855.0,795.0,905,805,1055,1045,875.0
2010-06-22,823,785,885,855.0,795.0,895,803,1060,1040,870.0
2010-06-23,822,787,880,855.0,795.0,902,800,1055,1045,877.5
2010-06-24,817,780,885,855.0,795.0,896,800,1055,1040,895.0
2010-06-25,817,780,885,860.0,810.0,904,800,1065,1050,915.0
2010-06-28,812,777,895,865.0,810.0,907,803,1080,1050,925.0
2010-06-29,794,758,885,860.0,810.0,885,800,1080,1040,922.5
2010-06-30,812,776,885,860.0,810.0,884,790,1080,1040,935.0
2010-07-01,797,767,890,845.0,820.0,891,778,1055,1040,920.0
2010-07-02,800,772,890,845.0,820.0,897,778,1045,1025,942.5
2010-07-05,800,772,900,845.0,820.0,902,775,1035,1020,937.5
2010-07-06,806,781,905,845.0,820.0,912,763,1030,1015,932.5
2010-07-07,828,802,905,845.0,820.0,905,770,1025,1005,927.5
2010-07-08,829,808,905,850.0,830.0,921,775,1025,990,932.5
2010-07-09,832,810,915,850.0,830.0,916,778,1035,995,917.5
2010-07-12,836,815,920,850.0,835.0,924,783,1045,1005,927.5
2010-07-13,846,824,920,850.0,835.0,930,785,1045,1005,912.5
2010-07-14,845,820,920,850.0,835.0,959,788,1055,1015,902.5
2010-07-15,852,833,930,860.0,845.0,981,805,1055,1025,922.5
2010-07-16,864,825,940,850.0,845.0,997,815,1070,1045,922.5
2010-07-19,872,821,960,850.0,850.0,982,810,1075,1050,920.0
2010-07-20,882,831,955,850.0,850.0,950,813,1070,1040,920.0
2010-07-21,888,832,955,850.0,850.0,968,820,1070,1040,907.5
2010-07-22,902,855,965,865.0,870.0,970,825,1085,1055,907.5
2010-07-23,912,861,985,870.0,870.0,967,840,1085,1060,915.0
2010-07-26,906,855,980,870.0,880.0,976,840,1085,1060,927.5
2010-07-27,901,850,980,870.0,875.0,984,830,1075,1050,922.5
2010-07-28,905,855,980,870.0,875.0,987,840,1080,1055,930.0
2010-07-29,919,878,985,880.0,885.0,1000,850,1090,1060,930.0
2010-07-30,930,890,1010,900.0,895.0,1009,855,1090,1070,930.0
2010-08-02,944,920,1020,905.0,895.0,1020,870,1090,1100,922.5
2010-08-03,932,906,1020,910.0,905.0,1038,878,1100,1120,917.5
2010-08-04,938,913,1020,930.0,925.0,1037,880,1130,1130,902.5
2010-08-05,936,910,1060,940.0,925.0,1055,890,1135,1135,902.5
2010-08-06,940,913,1060,960.0,920.0,1060,910,1175,1190,922.5
2010-08-09,950,923,1060,965.0,920.0,1060,935,1195,1200,922.5
2010-08-10,945,920,1140,990.0,1000.0,1040,920,1200,1190,922.5
2010-08-11,952,925,1110,1030.0,1000.0,1035,930,1150,1190,915.0
2010-08-12,939,913,1110,1040.0,1030.0,1010,935,1180,1180,912.5
2010-08-13,964,941,1120,1040.0,1030.0,1024,940,1195,1200,917.5
2010-08-16,940,918,1140,1030.0,1050.0,1032,945,1210,1200,932.5
2010-08-17,942,920,1120,1050.0,1065.0,1022,943,1195,1195,932.5
2010-08-18,927,905,1115,1040.0,1065.0,1024,925,1180,1180,917.5
2010-08-19,906,884,1100,1040.0,1035.0,1020,925,1180,1180,927.5
2010-08-20,898,876,1080,1050.0,1035.0,985,930,1175,1180,927.5
2010-08-23,892,870,1070,1030.0,1035.0,965,935,1180,1185,912.5
2010-08-24,895,879,1045,1000.0,985.0,952,915,1160,1175,917.5
2010-08-25,887,872,1035,980.0,970.0,971,915,1050,1160,930.0
2010-08-26,895,879,1025,970.0,970.0,990,920,1145,1145,947.5
2010-08-27,911,895,1020,1000.0,246.0,998,930,1155,1145,942.5
2010-08-30,906,888,1020,1010.0,955.0,1000,895,1175,1185,992.5
2010-08-31,895,878,1020,1010.0,955.0,995,895,1175,1185,985.0
2010-09-01,896,879,1015,1010.0,955.0,1005,885,1150,1155,997.5
2010-09-02,898,885,1020,1010.0,960.0,1000,885,1162,1170,997.5
2010-09-03,915,897,1025,1010.0,970.0,1007,895,1185,1175,1000.0
2010-09-06,919,901,1035,1010.0,970.0,1023,920,1200,1230,992.5
2010-09-07,938,921,1042,1015.0,990.0,1013,915,1195,1210,1002.5
2010-09-08,939,924,1075,1040.0,1005.0,1016,925,1220,1225,1002.5
2010-09-09,937,922,1070,1040.0,1005.0,1010,914,1230,1240,1007.5
2010-09-10,940,929,1090,1050.0,1025.0,1018,920,1240,1240,1030.0
2010-09-13,944,933,1095,1050.0,1030.0,1060,920,1255,1260,1022.5
2010-09-14,942,931,1095,1040.0,1040.0,1021,925,1250,1250,1022.5
2010-09-15,948,937,1090,1040.0,1050.0,1026,913,1230,1240,1032.5
2010-09-16,943,932,1120,1050.0,1050.0,1027,913,1235,1235,1022.5
2010-09-17,950,944,1135,1060.0,1055.0,1029,913,1240,1245,1032.5
2010-09-20,967,960,1160,1060.0,1115.0,1059,930,1285,1285,1035.0
2010-09-21,962,962,1170,1090.0,1130.0,1043,925,1300,1300,1032.5
2010-09-22,972,965,1170,1090.0,1100.0,1056,930,1300,1300,1062.5
2010-09-23,984,981,1170,1090.0,1110.0,1059,920,1305,1330,1062.5
2010-09-24,1007,1003,1180,1090.0,1120.0,1066,925,1330,1370,1095.0
2010-09-27,1009,1005,1200,1090.0,1110.0,1092,935,1360,1405,1115.0
2010-09-28,1009,1004,1190,1090.0,1110.0,1077,938,1350,1395,1125.0
2010-09-29,998,993,1180,1090.0,1110.0,1068,925,1340,1380,1140.0
2010-09-30,1000,994,1180,1080.0,1130.0,1071,930,1360,1400,1117.5
2010-10-01,981,975,1210,1080.0,1130.0,1084,923,1320,1370,1110.0
2010-10-04,972,967,1200,1080.0,1110.0,1065,915,1325,1360,1087.5
2010-10-05,980,975,1200,1080.0,1105.0,1068,915,1325,1350,1087.5
2010-10-06,980,974,1220,1080.0,1115.0,1081,933,1335,1365,1110.0
2010-10-07,987,981,1240,1090.0,1140.0,1096,955,1350,1385,1115.0
2010-10-08,1042,1037,1240,1090.0,1145.0,1089,955,1380,1400,1072.5
2010-10-11,1040,1037,1280,1090.0,1180.0,1170,995,1455,1470,1060.0
2010-10-12,1037,1033,1270,1160.0,1180.0,1141,993,1415,1420,1075.0
2010-10-13,1051,1047,1290,1160.0,1180.0,1151,1000,1435,1425,1095.0
2010-10-14,1057,1053,1290,1160.0,1190.0,1163,1015,1430,1425,1085.0
2010-10-15,1071,1064,1310,1200.0,1200.0,1197,1005,1410,1410,1115.0
2010-10-19,1060,1056,1290,1200.0,1200.0,1199,993,1410,1400,1120.0
2010-10-20,1102,1086,1300,1200.0,1205.0,1178,993,1430,1415,1140.0
2010-10-21,1086,1081,1310,1200.0,1225.0,1205,1015,1450,1430,1150.0
2010-10-22,1087,1082,1310,1200.0,1225.0,1191,1018,1465,1450,1155.0
2010-10-25,1107,1105,1360,1240.0,1225.0,1220,1038,1470,1450,1180.0
2010-10-26,1108,1106,1330,1240.0,1250.0,1196,1033,1465,1440,1180.0
2010-10-27,1109,1100,1320,1250.0,1250.0,1187,1025,1460,1430,1180.0
2010-10-28,1111,1102,1325,1250.0,1250.0,1212,1030,1470,1440,1180.0
2010-10-29,1102,1093,1375,1250.0,1250.0,1205,1025,1470,1440,1190.0
2010-11-01,1112,1103,1380,1250.0,1250.0,1218,1035,1475,1445,1210.0
2010-11-02,1110,1101,1385,1300.0,1250.0,1240,1043,1470,1435,1212.5
2010-11-03,1116,1107,1380,1300.0,1270.0,1240,1045,1470,1440,1205.0
2010-11-04,1145,1136,1420,1280.0,1290.0,1282,1075,1520,1475,1195.0
2010-11-05,1167,1160,1440,1280.0,1290.0,1288,1075,1530,1485,1210.0
2010-11-08,1162,1155,1470,1280.0,1300.0,1287,1125,1580,1495,1245.0
2010-11-09,1184,1179,1455,1280.0,1315.0,1282,1115,1640,1540,1250.0
2010-11-10,1200,1198,1485,1300.0,1360.0,1287,1130,1660,1560,1235.0
2010-11-11,1224,1222,1490,1320.0,1370.0,1287,1150,1690,1580,1265.0
