date,"Пальмовое масло   RBD, FOB Малайзия , usd/тн "
2010-01-04,775.0
2010-01-05,775.0
2010-01-06,797.5
2010-01-07,787.5
2010-01-08,785.0
2010-01-11,795.0
2010-01-12,797.5
2010-01-13,790.0
2010-01-14,785.0
2010-01-15,785.0
2010-01-18,797.5
2010-01-19,790.0
2010-01-20,800.0
2010-01-21,810.0
2010-01-22,810.0
2010-01-25,825.0
2010-01-26,815.0
2010-01-27,830.0
2010-01-28,825.0
2010-01-29,817.5
2010-02-01,807.5
2010-02-02,800.0
2010-02-03,802.5
2010-02-04,790.0
2010-02-05,805.0
2010-02-08,802.5
2010-02-09,805.0
2010-02-10,800.0
2010-02-11,805.0
2010-02-12,797.5
2010-02-15,805.0
2010-02-16,810.0
2010-02-17,812.5
2010-02-18,805.0
2010-02-19,812.5
2010-02-22,812.5
2010-02-23,822.5
2010-02-24,820.0
2010-02-25,825.0
2010-02-26,827.5
2010-03-01,815.0
2010-03-02,820.0
2010-03-03,822.5
2010-03-04,820.0
2010-03-05,805.0
2010-03-08,805.0
2010-03-09,802.5
2010-03-10,805.0
2010-03-11,815.0
2010-03-12,825.0
2010-03-15,825.0
2010-03-16,822.5
2010-03-17,817.5
2010-03-18,820.0
2010-03-19,820.0
2010-03-22,812.5
2010-03-23,815.0
2010-03-24,807.5
2010-03-25,802.5
2010-03-26,820.0
2010-03-29,812.5
2010-03-30,812.5
2010-03-31,805.0
2010-04-01,785.0
2010-04-05,800.0
2010-04-06,790.0
2010-04-07,800.0
2010-04-08,792.5
2010-04-09,792.5
2010-04-12,782.5
2010-04-13,790.0
2010-04-14,795.0
2010-04-15,792.5
2010-04-16,792.5
2010-04-19,795.0
2010-04-20,800.0
2010-04-21,787.5
2010-04-22,787.5
2010-04-23,785.0
2010-04-26,780.0
2010-04-27,782.5
2010-04-28,792.5
2010-04-29,790.0
2010-04-30,785.0
2010-05-03,790.0
2010-05-04,792.5
2010-05-05,800.0
2010-05-06,795.0
2010-05-07,792.5
2010-05-10,792.5
2010-05-11,787.5
2010-05-12,797.5
2010-05-14,787.5
2010-05-17,787.5
2010-05-18,780.0
2010-05-19,782.5
2010-05-20,772.5
2010-05-21,770.0
2010-05-24,767.5
2010-05-26,775.0
2010-05-27,780.0
2010-05-28,790.0
2010-06-01,790.0
2010-06-02,792.5
2010-06-03,802.5
2010-06-04,815.0
2010-06-07,812.5
2010-06-08,810.0
2010-06-09,817.5
2010-06-10,830.0
2010-06-11,827.5
2010-06-14,827.5
2010-06-15,832.5
2010-06-16,842.5
2010-06-17,845.0
2010-06-18,850.0
2010-06-21,875.0
2010-06-22,870.0
2010-06-23,877.5
2010-06-24,895.0
2010-06-25,915.0
2010-06-28,925.0
2010-06-29,922.5
2010-06-30,935.0
2010-07-01,920.0
2010-07-02,942.5
2010-07-05,937.5
2010-07-06,932.5
2010-07-07,927.5
2010-07-08,932.5
2010-07-09,917.5
2010-07-12,927.5
2010-07-13,912.5
2010-07-14,902.5
2010-07-15,922.5
2010-07-16,922.5
2010-07-19,920.0
2010-07-20,920.0
2010-07-21,907.5
2010-07-22,907.5
2010-07-23,915.0
2010-07-26,927.5
2010-07-27,922.5
2010-07-28,930.0
2010-07-29,930.0
2010-07-30,930.0
2010-08-02,922.5
2010-08-03,917.5
2010-08-04,902.5
2010-08-05,902.5
2010-08-06,922.5
2010-08-09,922.5
2010-08-10,922.5
2010-08-11,915.0
2010-08-12,912.5
2010-08-13,917.5
2010-08-16,932.5
2010-08-17,932.5
2010-08-18,917.5
2010-08-19,927.5
2010-08-20,927.5
2010-08-23,912.5
2010-08-24,917.5
2010-08-25,930.0
2010-08-26,947.5
2010-08-27,942.5
2010-08-30,992.5
2010-08-31,985.0
2010-09-01,997.5
2010-09-02,997.5
2010-09-03,1000.0
2010-09-06,992.5
2010-09-07,1002.5
2010-09-08,1002.5
2010-09-09,1007.5
2010-09-10,1030.0
2010-09-13,1022.5
2010-09-14,1022.5
2010-09-15,1032.5
2010-09-16,1022.5
2010-09-17,1032.5
2010-09-20,1035.0
2010-09-21,1032.5
2010-09-22,1062.5
2010-09-23,1062.5
2010-09-24,1095.0
2010-09-27,1115.0
2010-09-28,1125.0
2010-09-29,1140.0
2010-09-30,1117.5
2010-10-01,1110.0
2010-10-04,1087.5
2010-10-05,1087.5
2010-10-06,1110.0
2010-10-07,1115.0
2010-10-08,1072.5
2010-10-11,1060.0
2010-10-12,1075.0
2010-10-13,1095.0
2010-10-14,1085.0
2010-10-15,1115.0
2010-10-19,1120.0
2010-10-20,1140.0
2010-10-21,1150.0
2010-10-22,1155.0
2010-10-25,1180.0
2010-10-26,1180.0
2010-10-27,1180.0
2010-10-28,1180.0
2010-10-29,1190.0
2010-11-01,1210.0
2010-11-02,1212.5
2010-11-03,1205.0
2010-11-04,1195.0
2010-11-05,1210.0
2010-11-08,1245.0
2010-11-09,1250.0
2010-11-10,1235.0
2010-11-11,1265.0
2010-11-12,1277.5
2010-11-15,1262.5
2010-11-16,1275.0
2010-11-17,1250.0
2010-11-18,1237.5
2010-11-19,1237.5
2010-11-22,1232.5
2010-11-23,1247.5
2010-11-24,1247.5
2010-11-25,1240.0
2010-11-26,1245.0
2010-11-29,1255.0
2010-11-30,1260.0
2010-12-01,1267.5
2010-12-02,1262.5
2010-12-03,1247.5
